,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound
0,Archies,34,"{'neg': 0.0, 'neu': 0.8250000000000001, 'pos': 0.17500000000000002, 'compound': 0.9896}",[],2.1,1969,1,291.6,19,4.4,"Sugar, Sugar",22,90.77,223,0.0,0.8250000000000001,0.17500000000000002,0.9896
1,Temptations,46,"{'neg': 0.056, 'neu': 0.88, 'pos': 0.064, 'compound': 0.3763}","['hip-hop/rnb', 'soul']",0.1,1969,3,354.6,19,4.800000000000001,I Can't Get Next To You,20,106.67,323,0.056,0.88,0.064,0.3763
2,Rolling Stones,16,"{'neg': 0.025, 'neu': 0.975, 'pos': 0.0, 'compound': -0.43910000000000005}","['blues', 'country', 'reggae', 'hip-hop/rnb', 'rock']",1.3,1969,4,151.2,10,4.800000000000001,Honky Tonk Women,9,98.21,124,0.025,0.975,0.0,-0.43910000000000005
3,Sly and The Family Stone,37,"{'neg': 0.105, 'neu': 0.8, 'pos': 0.095, 'compound': -0.0644}",['soul'],1.7000000000000002,1969,5,270.9,15,4.0,Everyday People,17,91.78,214,0.105,0.8,0.095,-0.0644
4,Tommy Roe,32,"{'neg': 0.145, 'neu': 0.762, 'pos': 0.093, 'compound': -0.7995}",['pop'],0.9,1969,6,254.7,13,4.4,Dizzy,18,99.23,216,0.145,0.762,0.093,-0.7995
5,Sly and The Family Stone,32,"{'neg': 0.0, 'neu': 0.6930000000000001, 'pos': 0.307, 'compound': 0.9931000000000001}",['soul'],0.1,1969,7,169.2,5,3.6,Hot Fun In The Summertime,17,101.26,140,0.0,0.6930000000000001,0.307,0.9931000000000001
6,Tom Jones,28,"{'neg': 0.089, 'neu': 0.589, 'pos': 0.322, 'compound': 0.995}",[],1.7000000000000002,1969,8,208.8,9,4.0,I'll Never Fall In Love Again,7,91.78,166,0.089,0.589,0.322,0.995
7,Tommy James and The Shondells,19,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.9538000000000001}",[],2.9,1969,10,154.8,11,4.0,Crimson And Clover,9,83.32,110,0.0,0.833,0.167,0.9538000000000001
8,Three Dog Night,25,"{'neg': 0.328, 'neu': 0.5700000000000001, 'pos': 0.10200000000000001, 'compound': -0.997}",[],4.8,1969,11,281.7,12,4.800000000000001,One,14,72.83,193,0.328,0.5700000000000001,0.10200000000000001,-0.997
9,Tommy James and The Shondells,32,"{'neg': 0.019, 'neu': 0.805, 'pos': 0.176, 'compound': 0.9776}",[],2.5,1969,12,208.8,24,3.6,Crystal Blue Persuasion,11,84.34,145,0.019,0.805,0.176,0.9776
10,Cowsills,59,"{'neg': 0.038, 'neu': 0.854, 'pos': 0.109, 'compound': 0.9712000000000001}",['pop'],0.5,1969,13,369.9,44,4.0,Hair,18,100.24,306,0.038,0.854,0.109,0.9712000000000001
11,Marvin Gaye,48,"{'neg': 0.029, 'neu': 0.893, 'pos': 0.078, 'compound': 0.9404}","['pop', 'hip-hop/rnb', 'soul']",0.9,1969,14,396.0,26,4.4,Too Busy Thinking About My Baby,10,99.23,319,0.029,0.893,0.078,0.9404
12,Elvis Presley,51,"{'neg': 0.097, 'neu': 0.741, 'pos': 0.162, 'compound': 0.977}","['blues', 'country', 'pop', 'rock']",-0.7000000000000001,1969,18,332.1,11,4.0,Suspicious Minds,40,108.7,297,0.097,0.741,0.162,0.977
13,Creedence Clearwater Revival,25,"{'neg': 0.012, 'neu': 0.859, 'pos': 0.129, 'compound': 0.9636}",['rock'],2.1,1969,19,222.3,23,4.4,Proud Mary,14,90.77,171,0.012,0.859,0.129,0.9636
14,Isley Brothers,27,"{'neg': 0.014, 'neu': 0.897, 'pos': 0.089, 'compound': 0.9544}","['hip-hop/rnb', 'rock', 'soul']",-0.7000000000000001,1969,21,242.1,6,5.2,It's Your Thing,23,114.12,240,0.014,0.897,0.089,0.9544
15,Neil Diamond,22,"{'neg': 0.06, 'neu': 0.667, 'pos': 0.273, 'compound': 0.9858}","['pop', 'rock']",2.1,1969,22,180.0,17,4.4,Sweet Caroline,15,90.77,136,0.06,0.667,0.273,0.9858
16,Oliver,20,"{'neg': 0.03, 'neu': 0.901, 'pos': 0.068, 'compound': 0.6178}",[],1.3,1969,23,180.9,14,4.800000000000001,Jean,7,98.21,149,0.03,0.901,0.068,0.6178
17,Creedence Clearwater Revival,24,"{'neg': 0.226, 'neu': 0.653, 'pos': 0.121, 'compound': -0.9725}",['rock'],2.1,1969,24,182.7,16,4.4,Bad Moon Rising,12,90.77,146,0.226,0.653,0.121,-0.9725
18,Beatles,35,"{'neg': 0.009000000000000001, 'neu': 0.856, 'pos': 0.134, 'compound': 0.9815}","['pop', 'rock']",0.9,1969,25,280.8,23,4.4,Get Back,26,99.23,230,0.009000000000000001,0.856,0.134,0.9815
19,Zager and Evans,46,"{'neg': 0.07, 'neu': 0.872, 'pos': 0.059000000000000004, 'compound': -0.296}",[],-0.30000000000000004,1969,26,306.0,22,4.4,In The Year 2525,15,107.69,277,0.07,0.872,0.059000000000000004,-0.296
20,"Blood, Sweat and Tears",20,"{'neg': 0.171, 'neu': 0.8170000000000001, 'pos': 0.012, 'compound': -0.9718}",[],1.3,1969,27,181.8,17,4.800000000000001,Spinning Wheel,5,98.21,146,0.171,0.8170000000000001,0.012,-0.9718
21,Andy Kim,36,"{'neg': 0.03, 'neu': 0.707, 'pos': 0.263, 'compound': 0.9963000000000001}",[],-0.30000000000000004,1969,28,249.3,3,4.4,"Baby, I Love You",24,107.69,224,0.03,0.707,0.263,0.9963000000000001
22,Creedence Clearwater Revival,16,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.9244}",['rock'],1.3,1969,31,158.4,27,4.800000000000001,Green River,3,98.21,127,0.0,0.899,0.101,0.9244
23,Stevie Wonder,20,"{'neg': 0.016, 'neu': 0.8310000000000001, 'pos': 0.152, 'compound': 0.9771000000000001}","['pop', 'soul']",2.1,1969,32,219.6,7,5.6,My Cherie Amour,11,96.18,184,0.016,0.8310000000000001,0.152,0.9771000000000001
24,Three Dog Night,33,"{'neg': 0.233, 'neu': 0.43, 'pos': 0.336, 'compound': 0.9826}",[],1.7000000000000002,1969,33,218.7,10,4.0,Easy To Be Hard,20,91.78,174,0.233,0.43,0.336,0.9826
25,Elvis Presley,37,"{'neg': 0.145, 'neu': 0.808, 'pos': 0.047, 'compound': -0.9625}","['blues', 'country', 'pop', 'rock']",-0.7000000000000001,1969,35,242.1,15,4.0,In The Ghetto,12,108.7,219,0.145,0.808,0.047,-0.9625
26,Johnny Cash,67,"{'neg': 0.14200000000000002, 'neu': 0.754, 'pos': 0.10400000000000001, 'compound': -0.9864}","['blues', 'country', 'folk', 'rock']",0.9,1969,36,666.9,37,5.6,A Boy Named Sue,18,104.64,608,0.14200000000000002,0.754,0.10400000000000001,-0.9864
27,Oliver,31,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.9756}",[],1.3,1969,43,194.4,27,3.6,Good Morning Starshine,18,92.8,146,0.0,0.847,0.153,0.9756
28,"Blood, Sweat and Tears",42,"{'neg': 0.029, 'neu': 0.668, 'pos': 0.303, 'compound': 0.9975}",[],0.5,1969,45,277.2,15,4.0,You've Made Me So Very Happy,17,100.24,231,0.029,0.668,0.303,0.9975
29,Jackie DeShannon,41,"{'neg': 0.018000000000000002, 'neu': 0.7000000000000001, 'pos': 0.28200000000000003, 'compound': 0.9974000000000001}","['pop', 'soul']",-0.30000000000000004,1969,46,282.6,8,4.4,Put A Little Love In Your Heart,19,107.69,254,0.018000000000000002,0.7000000000000001,0.28200000000000003,0.9974000000000001
30,Doors,28,"{'neg': 0.045, 'neu': 0.714, 'pos': 0.241, 'compound': 0.9907}",['rock'],-0.7000000000000001,1969,49,183.6,4,4.0,Touch Me,22,108.7,164,0.045,0.714,0.241,0.9907
31,Sammy Davis Jr.,25,"{'neg': 0.081, 'neu': 0.704, 'pos': 0.214, 'compound': 0.9836}",[],0.1,1969,51,222.3,12,4.800000000000001,I've Gotta Be Me,7,106.67,194,0.081,0.704,0.214,0.9836
32,Bob Dylan,19,"{'neg': 0.011, 'neu': 0.891, 'pos': 0.099, 'compound': 0.9524}","['blues', 'country', 'folk', 'rock']",0.9,1969,52,194.4,10,5.6,Lay Lady Lay,7,104.64,171,0.011,0.891,0.099,0.9524
33,Mama Cass Elliot,24,"{'neg': 0.011, 'neu': 0.675, 'pos': 0.314, 'compound': 0.9942000000000001}",[],2.1,1969,55,215.1,25,4.4,It's Getting Better,5,90.77,164,0.011,0.675,0.314,0.9942000000000001
34,Jay and The Americans,27,"{'neg': 0.0, 'neu': 0.9390000000000001, 'pos': 0.061, 'compound': 0.7943}",['rock'],5.6,1969,56,276.3,31,4.4,This Magic Moment,19,65.39,172,0.0,0.9390000000000001,0.061,0.7943
