,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre
0,Pharrell Williams,68,"{'neg': 0.022, 'neu': 0.634, 'pos': 0.34400000000000003, 'compound': 0.9996}",[],2.5,2014,1,616.5,11,4.800000000000001,Happy,61,89.75,493,0.022,0.634,0.34400000000000003,0.9996,none
1,Katy Perry,72,"{'neg': 0.054, 'neu': 0.737, 'pos': 0.209, 'compound': 0.9973000000000001}",['pop'],0.9,2014,2,593.1,42,4.4,Dark Horse,34,99.23,481,0.054,0.737,0.209,0.9973000000000001,pop
2,John Legend,51,"{'neg': 0.093, 'neu': 0.741, 'pos': 0.166, 'compound': 0.985}",['soul'],0.9,2014,3,403.2,28,4.4,All Of Me,28,99.23,333,0.093,0.741,0.166,0.985,soul
3,Iggy Azalea,60,"{'neg': 0.043000000000000003, 'neu': 0.801, 'pos': 0.156, 'compound': 0.9946}",[],1.7000000000000002,2014,4,565.2,52,5.2,Fancy,29,97.2,490,0.043000000000000003,0.801,0.156,0.9946,none
4,OneRepublic,96,"{'neg': 0.147, 'neu': 0.8160000000000001, 'pos': 0.038, 'compound': -0.9953000000000001}","['pop', 'rock']",0.5,2014,5,620.1,18,4.0,Counting Stars,84,100.24,517,0.147,0.8160000000000001,0.038,-0.9953000000000001,pop
5,Jason Derulo,51,"{'neg': 0.129, 'neu': 0.781, 'pos': 0.09, 'compound': -0.9403}","['electronic/dance', 'pop']",1.3,2014,6,431.1,34,4.800000000000001,Talk Dirty,26,98.21,358,0.129,0.781,0.09,-0.9403,electronic/dance
6,Meghan Trainor,44,"{'neg': 0.112, 'neu': 0.791, 'pos': 0.097, 'compound': -0.3156}",['pop'],1.3,2014,8,502.2,15,6.0,All About That Bass,26,103.63,440,0.112,0.791,0.097,-0.3156,pop
7,Ariana Grande,75,"{'neg': 0.20700000000000002, 'neu': 0.706, 'pos': 0.08600000000000001, 'compound': -0.9963000000000001}",['pop'],0.9,2014,9,624.6,32,4.4,Problem,52,99.23,505,0.20700000000000002,0.706,0.08600000000000001,-0.9963000000000001,pop
8,Sam Smith,24,"{'neg': 0.108, 'neu': 0.673, 'pos': 0.219, 'compound': 0.9831000000000001}",['pop'],-0.30000000000000004,2014,10,172.8,4,4.4,Stay With Me,16,107.69,164,0.108,0.673,0.219,0.9831000000000001,pop
9,Pitbull,60,"{'neg': 0.004, 'neu': 0.846, 'pos': 0.15, 'compound': 0.9956}",[],0.9,2014,11,465.3,23,4.4,Timber,43,99.23,399,0.004,0.846,0.15,0.9956,none
10,Taylor Swift,70,"{'neg': 0.375, 'neu': 0.542, 'pos': 0.083, 'compound': -0.9994000000000001}","['country', 'pop']",1.7000000000000002,2014,13,671.4,25,5.2,Shake It Off,43,97.2,564,0.375,0.542,0.083,-0.9994000000000001,country
11,Nico and Vinz,56,"{'neg': 0.177, 'neu': 0.734, 'pos': 0.089, 'compound': -0.9947}",['pop'],-1.1,2014,14,411.3,11,4.800000000000001,Am I Wrong,39,115.13,406,0.177,0.734,0.089,-0.9947,pop
12,DJ Snake,27,"{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.9385}",[],-1.0,2014,15,113.4,1,3.6,Turn Down For What,28,109.72,108,0.139,0.861,0.0,-0.9385,none
13,Eminem,77,"{'neg': 0.134, 'neu': 0.6910000000000001, 'pos': 0.17500000000000002, 'compound': 0.9874}","['hip-hop/rnb', 'religious', 'alternative/indie']",1.7000000000000002,2014,16,787.5,74,5.2,The Monster,40,97.2,644,0.134,0.6910000000000001,0.17500000000000002,0.9874,hip-hop/rnb
14,Lorde,52,"{'neg': 0.05, 'neu': 0.8160000000000001, 'pos': 0.134, 'compound': 0.9838}",['pop'],0.1,2014,18,421.2,23,4.800000000000001,Team,31,106.67,367,0.05,0.8160000000000001,0.134,0.9838,pop
15,Passenger,47,"{'neg': 0.10300000000000001, 'neu': 0.733, 'pos': 0.163, 'compound': 0.9868}",[],1.7000000000000002,2014,19,459.0,10,5.2,Let Her Go,41,97.2,398,0.10300000000000001,0.733,0.163,0.9868,none
16,Lorde,54,"{'neg': 0.059000000000000004, 'neu': 0.8280000000000001, 'pos': 0.113, 'compound': 0.9725}",['pop'],0.9,2014,20,463.5,30,4.4,Royals,37,99.23,375,0.059000000000000004,0.8280000000000001,0.113,0.9725,pop
17,Avicii,36,"{'neg': 0.02, 'neu': 0.796, 'pos': 0.184, 'compound': 0.9851000000000001}",[],-0.30000000000000004,2014,22,278.1,14,4.4,Wake Me Up!,20,107.69,249,0.02,0.796,0.184,0.9851000000000001,none
18,Imagine Dragons,32,"{'neg': 0.136, 'neu': 0.789, 'pos': 0.075, 'compound': -0.9315}",[],2.1,2014,23,368.1,12,5.6,Demons,17,96.18,313,0.136,0.789,0.075,-0.9315,none
19,One Direction,38,"{'neg': 0.074, 'neu': 0.8130000000000001, 'pos': 0.113, 'compound': 0.9413}",['pop'],2.1,2014,24,451.8,22,5.6,Story Of My Life,16,96.18,364,0.074,0.8130000000000001,0.113,0.9413,pop
20,Sia,46,"{'neg': 0.044, 'neu': 0.839, 'pos': 0.117, 'compound': 0.9812000000000001}",['pop'],1.7000000000000002,2014,25,453.6,17,5.2,Chandelier,33,97.2,378,0.044,0.839,0.117,0.9812000000000001,pop
21,Iggy Azalea,58,"{'neg': 0.075, 'neu': 0.6930000000000001, 'pos': 0.233, 'compound': 0.9987}",[],2.1,2014,26,639.9,41,5.6,Black Widow,22,96.18,525,0.075,0.6930000000000001,0.233,0.9987,none
22,"Jessie J, Ariana Grande & Nicki Minaj",83,"{'neg': 0.023, 'neu': 0.907, 'pos': 0.07, 'compound': 0.9707}","['hip-hop/rnb', 'pop']",0.1,2014,27,738.0,41,4.800000000000001,Bang Bang,52,106.67,658,0.023,0.907,0.07,0.9707,hip-hop/rnb
23,Disclosure,26,"{'neg': 0.008, 'neu': 0.868, 'pos': 0.124, 'compound': 0.9887}",[],2.1,2014,28,367.2,13,6.800000000000001,Latch,14,101.59,325,0.008,0.868,0.124,0.9887,none
24,Maroon 5,73,"{'neg': 0.10400000000000001, 'neu': 0.884, 'pos': 0.013000000000000001, 'compound': -0.9893000000000001}","['electronic/dance', 'pop', 'rock']",-0.7000000000000001,2014,29,487.8,16,4.0,Maps,55,108.7,433,0.10400000000000001,0.884,0.013000000000000001,-0.9893000000000001,electronic/dance
25,American Authors,29,"{'neg': 0.035, 'neu': 0.796, 'pos': 0.169, 'compound': 0.9902000000000001}",[],5.2,2014,31,342.9,22,5.2,Best Day Of My Life,31,71.82,236,0.035,0.796,0.169,0.9902000000000001,none
26,Tove Lo,30,"{'neg': 0.132, 'neu': 0.801, 'pos': 0.068, 'compound': -0.9443}",['pop'],2.9,2014,32,404.1,30,6.4,Habits,15,94.15,337,0.132,0.801,0.068,-0.9443,pop
27,Calvin Harris,19,"{'neg': 0.045, 'neu': 0.8270000000000001, 'pos': 0.127, 'compound': 0.8868}","['electronic/dance', 'disco', 'electronic/dance']",-0.7000000000000001,2014,33,118.8,8,4.0,Summer,14,108.7,106,0.045,0.8270000000000001,0.127,0.8868,electronic/dance
28,Charli XCX,47,"{'neg': 0.021, 'neu': 0.866, 'pos': 0.112, 'compound': 0.9903000000000001}","['electronic/dance', 'pop']",-0.7000000000000001,2014,34,406.8,13,5.2,Boom Clap,40,114.12,390,0.021,0.866,0.112,0.9903000000000001,electronic/dance
29,Beyonce,73,"{'neg': 0.096, 'neu': 0.714, 'pos': 0.19, 'compound': 0.9966}","['pop', 'hip-hop/rnb']",1.7000000000000002,2014,35,684.9,75,5.2,Drunk In Love,32,97.2,585,0.096,0.714,0.19,0.9966,pop
30,Nicki Minaj,101,"{'neg': 0.182, 'neu': 0.775, 'pos': 0.044, 'compound': -0.9982000000000001}","['hip-hop/rnb', 'pop']",0.5,2014,36,688.5,41,4.0,Anaconda,60,100.24,595,0.182,0.775,0.044,-0.9982000000000001,hip-hop/rnb
31,Ariana Grande,45,"{'neg': 0.083, 'neu': 0.6960000000000001, 'pos': 0.221, 'compound': 0.9868}",['pop'],1.3,2014,37,381.6,16,4.800000000000001,Break Free,34,98.21,325,0.083,0.6960000000000001,0.221,0.9868,pop
32,Enrique Iglesias,67,"{'neg': 0.099, 'neu': 0.86, 'pos': 0.041, 'compound': -0.9217000000000001}","['electronic/dance', 'pop']",4.1,2014,38,610.2,79,4.0,Bailando,57,74.86,394,0.099,0.86,0.041,-0.9217000000000001,electronic/dance
33,Ellie Goulding,73,"{'neg': 0.14200000000000002, 'neu': 0.743, 'pos': 0.115, 'compound': -0.7475}",['pop'],-0.30000000000000004,2014,39,538.2,20,4.4,Burn,56,107.69,486,0.14200000000000002,0.743,0.115,-0.7475,pop
34,Jason Derulo,65,"{'neg': 0.078, 'neu': 0.878, 'pos': 0.044, 'compound': -0.9125000000000001}","['electronic/dance', 'pop']",0.5,2014,40,441.9,33,4.0,Wiggle,40,100.24,356,0.078,0.878,0.044,-0.9125000000000001,electronic/dance
35,Clean Bandit,45,"{'neg': 0.254, 'neu': 0.669, 'pos': 0.077, 'compound': -0.9974000000000001}",['electronic/dance'],1.7000000000000002,2014,41,477.9,23,5.2,Rather Be,27,97.2,397,0.254,0.669,0.077,-0.9974000000000001,electronic/dance
36,Jeremih,113,"{'neg': 0.046, 'neu': 0.857, 'pos': 0.097, 'compound': 0.9778}",['soul'],-0.7000000000000001,2014,42,708.3,47,4.0,Don't Tell 'Em,72,108.7,659,0.046,0.857,0.097,0.9778,soul
37,Kid Ink,79,"{'neg': 0.089, 'neu': 0.8150000000000001, 'pos': 0.095, 'compound': -0.1307}",['hip-hop/rnb'],0.9,2014,43,623.7,29,4.4,Show Me,43,99.23,536,0.089,0.8150000000000001,0.095,-0.1307,hip-hop/rnb
38,Miley Cyrus,49,"{'neg': 0.124, 'neu': 0.709, 'pos': 0.167, 'compound': 0.9042}","['pop', 'rock']",-0.30000000000000004,2014,44,372.6,15,4.4,Wrecking Ball,36,107.69,335,0.124,0.709,0.167,0.9042,pop
